STOP_WAS_INITIATED,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OTHER_PERSON_STOPPED_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_BODY_BUILD_TYPE,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_BORO_NAME,SUSPECT_ARRESTED_FLAG
3,,3,13,14,1,2,2,,,1,2,,,2,4,4,3,3,1
1,1,1,,3,1,2,1,2,2,1,2,,,1,1,3,2,3,1
3,1,1,1,10,1,2,1,1,1,1,2,2,,2,1,2,3,2,1
2,3,1,,10,1,2,1,1,1,1,2,,,2,1,2,1,2,1
3,3,1,23,20,2,2,1,2,2,1,2,,,2,4,3,3,4,1
3,,0,,4,1,2,2,2,2,1,2,,,2,1,3,4,4,1
2,,0,,3,1,2,1,2,2,1,2,,,2,4,3,2,1,1
3,,1,26,15,2,2,2,1,,1,2,2,,2,1,1,4,1,1
3,,0,,5,2,2,1,1,,1,2,2,,2,5,3,3,4,1
3,1,2,13,5,1,1,1,1,2,1,2,,,2,1,4,2,2,1
1,1,1,,7,1,2,2,2,2,1,2,,,2,4,3,2,5,1
3,2,0,26,10,1,1,1,1,1,1,2,,,2,4,2,3,1,1
2,,2,1,8,2,2,2,2,2,1,2,2,,2,1,3,3,3,1
2,,15,23,15,2,2,1,1,1,1,,,,2,1,3,5,3,1
2,,1,8,10,2,2,1,1,,1,2,,,2,4,3,1,4,1
3,1,3,19,5,1,1,1,1,1,1,2,2,,1,1,1,3,3,1
1,1,1,19,9,1,1,1,1,2,1,2,,,2,1,1,1,3,1
2,,1,13,10,1,2,2,1,1,1,2,2,2,2,1,3,4,3,2
3,,1,1,4,1,2,2,2,2,1,2,,,2,1,3,1,3,1
3,1,1,13,14,2,1,2,1,1,1,2,2,2,2,1,3,3,3,2
3,3,1,19,10,1,1,2,1,1,1,2,,2,2,1,3,4,2,2
3,2,1,23,20,1,1,1,1,1,1,2,,,1,1,3,5,1,2
3,1,1,19,6,1,2,2,1,1,1,2,,2,2,4,2,3,1,2
1,2,0,1,20,1,1,1,1,,1,2,2,,2,4,3,3,2,1
3,3,1,1,5,1,1,1,1,1,1,2,2,,2,6,2,4,3,1
2,1,1,23,1,2,2,2,1,1,2,2,2,2,2,1,2,3,1,2
3,,1,23,1,2,2,1,1,1,1,2,,,2,3,3,3,3,1
3,,0,23,14,1,1,1,1,1,1,2,2,,2,5,2,5,3,1
3,,1,13,18,2,2,1,1,1,1,2,2,,2,1,3,4,3,1
3,,2,18,20,2,1,1,1,1,1,2,2,,2,1,3,4,4,1
3,,2,18,20,2,1,1,1,1,1,2,2,,2,1,3,4,4,1
2,,1,,14,1,2,2,1,1,1,2,,,2,4,3,1,4,1
2,1,1,,3,1,2,2,1,1,2,,,,2,1,4,1,2,2
3,1,1,,7,1,2,2,1,2,1,2,,,2,3,3,2,3,1
2,,5,14,10,1,1,1,1,1,1,2,,,2,3,1,3,3,1
3,,1,,2,1,2,1,1,1,1,2,2,,2,1,3,3,2,1
2,,10,23,5,1,1,2,1,1,1,2,2,2,2,3,3,3,3,2
2,,20,23,6,1,2,2,1,1,1,,,,2,1,2,3,3,1
3,1,0,,5,1,2,1,1,1,1,2,2,2,2,4,3,1,3,2
3,,2,23,8,2,1,1,1,1,1,2,2,,2,4,2,4,3,1
3,,1,23,5,1,2,2,1,1,1,2,2,,2,1,3,1,3,2
3,1,5,19,15,1,1,1,1,1,1,2,,,2,3,2,4,3,2
3,1,15,19,5,1,1,2,1,1,1,2,2,2,2,1,2,2,3,2
3,1,1,1,5,1,2,1,1,1,1,2,2,,2,1,4,1,3,1
1,2,1,,3,1,2,1,2,2,1,2,,,2,1,3,4,3,1
3,,1,,5,1,2,2,1,1,2,2,2,2,2,4,3,4,1,2
3,3,1,1,15,1,2,1,1,,1,2,2,,2,1,3,3,1,1
2,1,1,1,10,1,2,1,1,1,1,,,,2,4,1,4,1,1
3,1,0,19,35,1,2,1,1,1,1,2,2,,2,4,3,4,1,1
3,,0,16,6,1,2,1,1,1,1,2,2,,2,1,3,1,1,2
3,1,1,19,3,1,2,1,1,1,1,2,,,2,1,1,2,1,1
3,,10,22,48,2,2,1,2,2,1,2,2,,2,1,2,2,1,2
3,,1,1,3,1,1,2,1,1,1,,2,2,2,4,4,2,1,2
3,,2,,10,1,2,2,1,,1,2,,,2,4,3,3,1,1
3,1,1,26,3,1,1,1,2,1,1,2,,,2,2,1,4,1,1
3,1,1,23,8,1,2,1,1,1,1,2,2,,2,1,4,4,2,2
3,,2,23,2,2,2,2,1,1,1,2,2,2,2,2,3,2,2,2
3,1,0,,1,1,2,1,1,1,1,2,2,,2,1,4,1,2,1
1,,2,26,14,1,2,1,1,1,1,,,,2,1,3,3,2,1
3,,1,12,10,1,1,1,1,1,1,2,2,,2,2,2,1,2,2
3,2,1,,3,1,2,2,1,1,2,,,,2,4,4,4,2,2
3,1,1,1,20,1,2,2,2,2,1,2,,2,2,1,3,4,2,2
3,1,2,14,5,1,1,1,1,1,1,2,2,,2,1,3,4,2,1
3,4,0,11,20,2,2,2,1,1,1,2,2,2,2,1,3,4,2,2
3,1,1,19,5,1,2,1,1,1,2,2,2,,2,1,3,1,2,2
3,1,1,1,3,1,1,1,1,,1,2,2,,1,1,1,2,2,1
2,,1,1,8,2,2,2,1,1,1,2,,,2,1,3,2,2,1
2,,1,1,8,2,1,1,1,1,1,2,,,2,1,3,2,2,1
2,1,3,23,10,1,1,2,1,1,2,2,,,2,1,2,3,2,1
3,1,1,16,10,1,2,2,1,1,1,2,2,2,2,1,2,2,2,1
3,3,1,22,4,2,2,1,1,1,1,2,2,,2,1,3,4,2,1
3,3,1,22,4,2,2,1,1,1,1,2,,,2,1,2,4,2,1
3,,1,1,17,2,1,1,1,1,1,2,2,,2,1,1,1,2,1
1,1,1,23,10,2,1,1,1,1,1,2,2,,2,1,2,1,2,1
1,1,1,23,10,2,1,1,1,1,1,2,2,,2,1,2,1,2,1
1,1,1,23,10,2,1,1,1,1,1,2,2,,2,1,2,1,2,1
3,1,1,13,5,1,1,1,1,1,1,,2,,2,1,2,3,2,2
1,,1,1,5,1,2,2,1,1,1,2,2,2,2,1,1,4,2,2
3,1,1,,12,2,2,2,2,2,1,2,2,2,2,1,2,4,4,2
3,1,1,,12,2,2,2,2,2,1,2,2,2,2,1,2,4,4,2
3,,1,1,5,1,2,1,1,1,1,2,2,,2,4,2,4,4,1
3,1,2,1,6,2,2,1,,,1,2,,,,,2,2,4,1
3,,1,,5,1,2,1,2,2,1,2,2,,2,1,3,4,4,1
3,,1,,30,2,2,1,1,1,1,2,,,2,1,3,1,4,1
1,1,1,,3,1,2,1,1,1,1,2,,,2,1,3,3,4,1
3,1,1,26,5,1,2,1,1,1,1,2,,,2,1,2,4,4,1
3,2,0,,2,1,1,1,1,,1,2,,,2,1,3,1,4,1
3,1,1,26,25,1,1,2,1,1,1,2,,2,2,1,2,2,4,2
3,,1,1,5,1,2,2,1,1,2,2,2,2,2,5,2,2,4,2
3,1,1,1,6,2,1,1,1,1,1,2,2,,2,1,3,1,4,1
3,1,1,1,6,2,1,1,1,1,1,2,2,,2,1,3,1,4,1
2,3,2,1,9,1,2,1,1,1,1,2,2,,2,1,3,4,4,2
3,3,1,23,8,1,2,2,1,1,2,2,,,2,4,3,2,5,2
3,1,1,19,10,2,2,1,1,1,1,2,2,,2,1,3,3,5,1
3,1,5,18,10,1,1,2,1,1,1,2,,2,2,2,2,1,5,2
3,3,1,1,15,1,2,2,1,1,1,2,2,2,2,3,2,2,2,2
1,1,2,19,2,2,1,1,1,1,1,2,,,2,1,3,3,2,1
2,3,1,,1,1,2,2,1,1,1,2,2,2,2,1,2,4,3,2
3,2,1,1,6,1,1,1,1,1,1,2,2,,2,1,2,3,3,1
3,,0,1,35,1,2,1,1,1,1,2,2,,2,4,1,2,4,2
3,1,1,19,20,1,1,2,1,1,1,2,,2,2,4,3,1,2,2
3,,1,,3,1,2,2,2,2,1,2,,,2,4,3,3,2,2
1,,2,19,2,2,1,1,1,1,1,2,,,2,1,3,3,2,1
3,1,1,1,10,1,1,2,1,1,1,,,2,2,1,2,3,2,2
3,,1,19,2,1,1,2,1,1,1,2,2,2,2,2,2,2,3,2
3,3,1,,1,1,2,1,1,1,1,2,2,,2,1,3,3,2,1
3,1,2,23,7,2,1,1,1,1,1,2,,2,1,1,1,3,3,2
2,2,5,23,10,1,2,2,1,1,2,2,2,2,2,1,3,4,3,2
3,2,1,19,3,1,2,1,,,1,2,2,,2,1,3,2,3,2
